Community,zero_carryover,low_supply_flag_1,low_supply_flag_2,low_supply_flag_3,low_supply_flag_1_percent,low_supply_flag_2_percent,low_supply_flag_3_percent,demand_flag_1,demand_flag_2,demand_flag_3,demand_flag_4,demand_flag_5,demand_flag_1_percent,demand_flag_2_percent,demand_flag_3_percent,demand_flag_4_percent,demand_flag_5_percent,unmet_demand_flag
1,1,18,3,3,0.010005558643690939,0.0016675931072818232,0.0016675931072818232,0,4,0,0,0,0.0,0.0022234574763757642,0.0,0,0,3
2,0,16,4,4,0.009232544720138488,0.002308136180034622,0.002308136180034622,0,18,0,0,0,0.0,0.0103866128101558,0.0,0,0,0
3,0,18,2,2,0.009884678747940691,0.001098297638660077,0.001098297638660077,0,24,0,0,0,0.0,0.013179571663920923,0.0,0,0,0
4,0,150,2,2,0.08726003490401396,0.0011634671320535194,0.0011634671320535194,5,16,12,0,0,0.0029086678301337987,0.009307737056428156,0.006980802792321117,0,0,1
5,0,1027,3,3,0.5963995354239257,0.0017421602787456446,0.0017421602787456446,9,226,202,0,0,0.005226480836236934,0.13124274099883856,0.1173054587688734,0,0,0
6,0,19,4,4,0.01025364274150027,0.0021586616297895305,0.0021586616297895305,0,0,0,0,0,0.0,0.0,0.0,0,0,0
7,0,18,2,2,0.009809264305177113,0.0010899182561307902,0.0010899182561307902,0,0,0,0,0,0.0,0.0,0.0,0,0,1
8,0,19,2,2,0.0101931330472103,0.001072961373390558,0.001072961373390558,0,12,0,0,0,0.0,0.006437768240343348,0.0,0,0,0
9,1,86,4,4,0.3282442748091603,0.015267175572519083,0.015267175572519083,0,4,16,0,0,0.0,0.015267175572519083,0.061068702290076333,0,0,3
10,1,139,7,6,0.16087962962962962,0.008101851851851851,0.006944444444444444,0,10,2,0,0,0.0,0.011574074074074073,0.0023148148148148147,0,0,3
11,0,285,7,5,0.24193548387096775,0.005942275042444821,0.004244482173174873,0,86,70,0,0,0.0,0.0730050933786078,0.059422750424448216,0,0,2
12,1,56,2,2,0.12727272727272726,0.004545454545454545,0.004545454545454545,0,6,5,0,0,0.0,0.013636363636363636,0.011363636363636364,0,0,3
13,1,140,4,4,0.11119936457505956,0.003177124702144559,0.003177124702144559,4,44,24,0,0,0.003177124702144559,0.03494837172359015,0.019062748212867357,0,0,4
14,0,479,4,3,0.2825958702064897,0.002359882005899705,0.0017699115044247787,21,146,94,0,0,0.012389380530973451,0.08613569321533923,0.05545722713864307,0,0,0
15,0,64,3,3,0.037122969837587005,0.0017401392111368909,0.0017401392111368909,0,2,6,0,0,0.0,0.001160092807424594,0.0034802784222737818,0,0,1
16,0,15,4,4,0.008655510675129832,0.002308136180034622,0.002308136180034622,0,10,2,0,0,0.0,0.005770340450086555,0.001154068090017311,0,0,0
17,1,153,5,5,0.11299852289512555,0.003692762186115214,0.003692762186115214,0,0,1,0,0,0.0,0.0,0.0007385524372230429,0,0,3
18,1,103,2,2,0.07567964731814843,0.0014695077149155032,0.0014695077149155032,1,4,12,0,0,0.0007347538574577516,0.0029390154298310064,0.00881704628949302,0,0,3
19,0,880,6,6,0.48645660585959094,0.003316749585406302,0.003316749585406302,10,174,111,0,0,0.00552791597567717,0.09618573797678276,0.06135986733001658,0,0,0
20,0,1022,6,5,0.5959183673469388,0.003498542274052478,0.0029154518950437317,27,190,110,0,0,0.01574344023323615,0.11078717201166181,0.0641399416909621,0,0,0
21,0,192,4,4,0.11079053664166186,0.002308136180034622,0.002308136180034622,3,24,23,0,0,0.0017311021350259665,0.013848817080207732,0.013271783035199077,0,0,1
22,0,46,3,3,0.024932249322493227,0.0016260162601626016,0.0016260162601626016,0,24,4,0,0,0.0,0.013008130081300813,0.002168021680216802,0,0,0
23,0,84,3,3,0.04600219058050383,0.0016429353778751369,0.0016429353778751369,0,6,9,0,0,0.0,0.0032858707557502738,0.004928806133625411,0,0,1
24,0,19,2,2,0.01027027027027027,0.001081081081081081,0.001081081081081081,0,2,0,0,0,0.0,0.001081081081081081,0.0,0,0,1
25,0,504,6,6,0.27140549273021003,0.0032310177705977385,0.0032310177705977385,1,158,99,0,0,0.0005385029617662897,0.08508346795907377,0.05331179321486268,0,0,0
26,1,106,2,2,0.06148491879350348,0.001160092807424594,0.001160092807424594,0,16,29,0,0,0.0,0.009280742459396751,0.016821345707656612,0,0,3
27,1,13,2,2,0.007575757575757576,0.0011655011655011655,0.0011655011655011655,0,10,0,0,0,0.0,0.005827505827505828,0.0,0,0,4
28,0,19,2,2,0.01028695181375203,0.0010828370330265296,0.0010828370330265296,0,8,0,0,0,0.0,0.004331348132106118,0.0,0,0,2
29,0,458,11,11,0.25543781372002233,0.006134969325153374,0.006134969325153374,0,80,62,0,0,0.0,0.044617958728388175,0.03457891801450084,0,0,0
30,0,563,6,6,0.32245131729667814,0.003436426116838488,0.003436426116838488,5,54,40,0,0,0.0028636884306987398,0.030927835051546393,0.022909507445589918,0,0,0
31,0,306,5,5,0.17626728110599077,0.002880184331797235,0.002880184331797235,10,122,65,0,0,0.00576036866359447,0.07027649769585254,0.03744239631336405,0,0,0
32,0,18,4,4,0.009841443411700382,0.002186987424822307,0.002186987424822307,0,12,2,0,0,0.0,0.0065609622744669215,0.0010934937124111536,0,0,0
33,0,712,4,4,0.4066247858366648,0.002284408909194746,0.002284408909194746,8,160,128,0,0,0.004568817818389492,0.09137635636778983,0.07310108509423187,0,0,0
34,0,1219,12,11,0.8192204301075269,0.008064516129032258,0.00739247311827957,23,128,284,0,0,0.015456989247311828,0.08602150537634409,0.19086021505376344,0,0,1
35,0,540,8,7,0.32085561497326204,0.004753416518122401,0.0041592394533571005,1,86,55,0,0,0.0005941770647653001,0.0510992275698158,0.032679738562091505,0,0,0
36,1,70,2,1,0.14861995753715498,0.004246284501061571,0.0021231422505307855,0,6,4,0,0,0.0,0.012738853503184714,0.008492569002123142,0,0,3
37,1,81,6,5,0.11654676258992806,0.008633093525179856,0.007194244604316547,0,8,2,0,0,0.0,0.011510791366906475,0.0028776978417266188,0,0,3
38,0,14,2,2,0.010332103321033211,0.0014760147601476014,0.0014760147601476014,0,0,0,0,0,0.0,0.0,0.0,0,0,1
39,0,183,5,4,0.18391959798994975,0.005025125628140704,0.004020100502512563,0,12,0,0,0,0.0,0.012060301507537688,0.0,0,0,1
40,0,292,3,2,0.23895253682487724,0.0024549918166939444,0.0016366612111292963,10,52,53,0,0,0.008183306055646482,0.0425531914893617,0.04337152209492635,0,0,1
41,1,267,6,6,0.21636952998379255,0.004862236628849271,0.004862236628849271,0,40,34,0,0,0.0,0.03241491085899514,0.027552674230145867,0,0,3
42,1,13,2,2,0.008736559139784945,0.0013440860215053765,0.0013440860215053765,0,0,0,0,0,0.0,0.0,0.0,0,0,3
43,0,405,3,3,0.23142857142857143,0.0017142857142857142,0.0017142857142857142,5,102,70,0,0,0.002857142857142857,0.05828571428571429,0.04,0,0,0
44,1,18,4,4,0.01026811180832858,0.0022818026240730175,0.0022818026240730175,0,2,0,0,0,0.0,0.0011409013120365088,0.0,0,0,3
45,1,144,8,8,0.14215202369200394,0.007897334649555774,0.007897334649555774,0,4,7,0,0,0.0,0.003948667324777887,0.006910167818361303,0,0,3
46,0,185,3,2,0.12424445936870383,0.0020147750167897917,0.001343183344526528,3,16,17,0,0,0.0020147750167897917,0.010745466756212223,0.011417058428475487,0,0,1
47,1,98,2,1,0.26344086021505375,0.005376344086021506,0.002688172043010753,0,46,27,0,0,0.0,0.12365591397849462,0.07258064516129033,0,0,4
48,1,8,3,3,0.00808080808080808,0.0030303030303030303,0.0030303030303030303,0,0,0,0,0,0.0,0.0,0.0,0,0,3
49,1,166,3,3,0.09975961538461539,0.0018028846153846155,0.0018028846153846155,2,22,19,0,0,0.001201923076923077,0.013221153846153846,0.01141826923076923,0,0,3
50,1,134,6,5,0.13494461228600202,0.006042296072507553,0.005035246727089627,0,0,0,0,0,0.0,0.0,0.0,0,0,3
51,1,75,3,2,0.08844339622641509,0.003537735849056604,0.0023584905660377358,0,16,8,0,0,0.0,0.018867924528301886,0.009433962264150943,0,0,3
52,1,197,6,6,0.1628099173553719,0.0049586776859504135,0.0049586776859504135,0,44,42,0,0,0.0,0.03636363636363636,0.03471074380165289,0,0,3
53,1,79,2,2,0.0651277823577906,0.0016488046166529267,0.0016488046166529267,0,6,13,0,0,0.0,0.00494641384995878,0.010717230008244023,0,0,3
54,1,60,3,2,0.125,0.00625,0.004166666666666667,2,52,6,0,0,0.004166666666666667,0.10833333333333334,0.0125,0,0,3
55,1,82,1,1,0.12954186413902052,0.001579778830963665,0.001579778830963665,0,50,31,0,0,0.0,0.07898894154818326,0.04897314375987362,0,0,4
56,1,10,4,4,0.008787346221441126,0.0035149384885764497,0.0035149384885764497,0,0,0,0,0,0.0,0.0,0.0,0,0,3
57,1,15,3,3,0.010169491525423728,0.002033898305084746,0.002033898305084746,0,2,0,0,0,0.0,0.0013559322033898306,0.0,0,0,3
58,0,299,5,5,0.17017643710870803,0.0028457598178713715,0.0028457598178713715,2,58,30,0,0,0.0011383039271485487,0.033010813887307915,0.01707455890722823,0,0,2
59,1,13,2,2,0.009622501850481125,0.0014803849000740192,0.0014803849000740192,1,0,0,0,0,0.0007401924500370096,0.0,0.0,0,0,3
60,0,939,4,3,0.5861423220973783,0.0024968789013732834,0.0018726591760299626,6,182,137,0,0,0.003745318352059925,0.1136079900124844,0.08551810237203496,0,0,0
61,0,5,4,4,0.003078817733990148,0.0024630541871921183,0.0024630541871921183,0,0,0,0,0,0.0,0.0,0.0,0,0,0
62,0,11,3,3,0.0071661237785016286,0.001954397394136808,0.001954397394136808,0,0,0,0,0,0.0,0.0,0.0,0,0,1
63,0,720,4,4,0.4164256795835743,0.002313475997686524,0.002313475997686524,5,178,90,0,0,0.002891844997108155,0.10294968189705032,0.05205320994794679,0,0,0
64,1,94,6,4,0.10767468499427263,0.006872852233676976,0.004581901489117984,0,2,9,0,0,0.0,0.002290950744558992,0.010309278350515464,0,0,3
65,1,140,3,3,0.089058524173028,0.0019083969465648854,0.0019083969465648854,0,12,11,0,0,0.0,0.007633587786259542,0.006997455470737914,0,0,3
66,0,720,4,4,0.4074702886247878,0.0022637238256932655,0.0022637238256932655,7,88,51,0,0,0.003961516694963215,0.04980192416525184,0.028862478777589132,0,0,1
67,0,1447,3,3,0.8748488512696493,0.0018137847642079807,0.0018137847642079807,21,186,166,0,0,0.012696493349455865,0.1124546553808948,0.1003627569528416,0,0,1
68,0,254,7,6,0.15747055176689398,0.0043397396156230625,0.0037197768133911966,0,20,7,0,0,0.0,0.012399256044637322,0.0043397396156230625,0,0,0
69,1,13,3,3,0.007553747821034283,0.0017431725740848344,0.0017431725740848344,0,0,0,0,0,0.0,0.0,0.0,0,0,3
70,1,11,2,2,0.01014760147601476,0.0018450184501845018,0.0018450184501845018,0,2,0,0,0,0.0,0.0018450184501845018,0.0,0,0,3
71,1,90,2,2,0.05447941888619855,0.0012106537530266344,0.0012106537530266344,0,2,5,0,0,0.0,0.0012106537530266344,0.003026634382566586,0,0,3
72,0,254,3,1,0.43270868824531517,0.005110732538330494,0.0017035775127768314,0,136,57,0,0,0.0,0.23168654173764908,0.09710391822827939,0,0,2
73,1,155,4,4,0.10741510741510742,0.002772002772002772,0.002772002772002772,0,28,26,0,0,0.0,0.019404019404019403,0.018018018018018018,0,0,3
74,0,35,3,1,1.0,0.08571428571428572,0.02857142857142857,0,0,4,0,0,0.0,0.0,0.11428571428571428,0,0,2
75,1,93,7,6,0.14832535885167464,0.011164274322169059,0.009569377990430622,0,0,0,0,0,0.0,0.0,0.0,0,0,3
76,1,79,5,5,0.4876543209876543,0.030864197530864196,0.030864197530864196,0,4,3,0,0,0.0,0.024691358024691357,0.018518518518518517,0,0,4
77,0,785,5,5,0.43562708102108766,0.002774694783573807,0.002774694783573807,24,222,145,0,0,0.013318534961154272,0.12319644839067703,0.0804661487236404,0,0,0
